sample_type	sampleID	CMA1
Primary Tumor	TCGA-YL-A9WJ-01	3.3536
Primary Tumor	TCGA-YL-A9WK-01	4.6047
Primary Tumor	TCGA-YL-A9WL-01	0.6738
Primary Tumor	TCGA-YL-A9WX-01	4.2556
Primary Tumor	TCGA-YL-A9WY-01	0
Primary Tumor	TCGA-ZG-A8QW-01	0.697
Primary Tumor	TCGA-ZG-A8QX-01	0
Primary Tumor	TCGA-ZG-A8QY-01	0.8817
Primary Tumor	TCGA-ZG-A8QZ-01	0
Primary Tumor	TCGA-ZG-A9KY-01	1.1625
Primary Tumor	TCGA-ZG-A9L0-01	0.9886
Primary Tumor	TCGA-ZG-A9L1-01	1.5636
Primary Tumor	TCGA-ZG-A9L2-01	1.1449
Primary Tumor	TCGA-ZG-A9L4-01	2.5456
Primary Tumor	TCGA-ZG-A9L5-01	1.088
Primary Tumor	TCGA-ZG-A9L6-01	1.9745
Primary Tumor	TCGA-ZG-A9L9-01	3.8281
Primary Tumor	TCGA-ZG-A9LB-01	4.1317
Primary Tumor	TCGA-ZG-A9LM-01	0.9485
Primary Tumor	TCGA-ZG-A9LN-01	2.917
Primary Tumor	TCGA-ZG-A9LS-01	0
Primary Tumor	TCGA-ZG-A9LU-01	0
Primary Tumor	TCGA-ZG-A9LY-01	0.8849
Primary Tumor	TCGA-ZG-A9LZ-01	0.8034
Primary Tumor	TCGA-ZG-A9M4-01	0.5132
Primary Tumor	TCGA-ZG-A9MC-01	1.3228
Primary Tumor	TCGA-ZG-A9N3-01	0
Primary Tumor	TCGA-ZG-A9ND-01	0.7585
Primary Tumor	TCGA-ZG-A9NI-01	3.9334
