sample_type	sampleID	CMA1
Primary Tumor	TCGA-EJ-7788-01	0.7401
Primary Tumor	TCGA-EJ-7789-01	2.3909
Solid Tissue Normal	TCGA-EJ-7789-11	4.5695
Primary Tumor	TCGA-EJ-7791-01	3.1114
Primary Tumor	TCGA-EJ-7792-01	2.0946
Solid Tissue Normal	TCGA-EJ-7792-11	3.0423
Primary Tumor	TCGA-EJ-7793-01	1.1263
Solid Tissue Normal	TCGA-EJ-7793-11	1.7906
Primary Tumor	TCGA-EJ-7794-01	3.3774
Solid Tissue Normal	TCGA-EJ-7794-11	4.9774
Primary Tumor	TCGA-EJ-7797-01	2.812
Solid Tissue Normal	TCGA-EJ-7797-11	3.1125
Primary Tumor	TCGA-EJ-8468-01	3.1188
Primary Tumor	TCGA-EJ-8469-01	0
Primary Tumor	TCGA-EJ-8470-01	0.7085
Primary Tumor	TCGA-EJ-8472-01	1.2358
Primary Tumor	TCGA-EJ-8474-01	3.07
Primary Tumor	TCGA-EJ-A46B-01	2.5883
Primary Tumor	TCGA-EJ-A46D-01	1.4585
Primary Tumor	TCGA-EJ-A46E-01	0.65
Primary Tumor	TCGA-EJ-A46F-01	0
Primary Tumor	TCGA-EJ-A46G-01	0
Primary Tumor	TCGA-EJ-A46H-01	1.7575
Primary Tumor	TCGA-EJ-A46I-01	0
Primary Tumor	TCGA-EJ-A65B-01	3.3404
Primary Tumor	TCGA-EJ-A65D-01	0
Primary Tumor	TCGA-EJ-A65E-01	0.9573
Primary Tumor	TCGA-EJ-A65F-01	5.0635
Primary Tumor	TCGA-EJ-A65G-01	3.5138
Primary Tumor	TCGA-EJ-A65J-01	0
Primary Tumor	TCGA-EJ-A65M-01	3.2092
Primary Tumor	TCGA-EJ-A6RA-01	3.466
Primary Tumor	TCGA-EJ-A6RC-01	5.3737
Primary Tumor	TCGA-EJ-A7NF-01	0.9785
Primary Tumor	TCGA-EJ-A7NG-01	1.5905
Primary Tumor	TCGA-EJ-A7NH-01	1.9354
Primary Tumor	TCGA-EJ-A7NJ-01	0.4876
Primary Tumor	TCGA-EJ-A7NK-01	1.0921
Primary Tumor	TCGA-EJ-A7NM-01	0.474
Primary Tumor	TCGA-EJ-A7NN-01	3.1231
Primary Tumor	TCGA-EJ-A8FN-01	0.5816
Primary Tumor	TCGA-EJ-A8FO-01	1.8572
Solid Tissue Normal	TCGA-EJ-A8FO-11	4.8237
Primary Tumor	TCGA-EJ-A8FP-01	0
Primary Tumor	TCGA-EJ-A8FS-01	0.4929
Primary Tumor	TCGA-EJ-A8FU-01	4.9039
Primary Tumor	TCGA-EJ-AB20-01	0
Primary Tumor	TCGA-EJ-AB27-01	3.2458
Primary Tumor	TCGA-FC-7708-01	2.8438
Primary Tumor	TCGA-FC-7961-01	0
Primary Tumor	TCGA-FC-A4JI-01	0
Primary Tumor	TCGA-FC-A5OB-01	0
Primary Tumor	TCGA-FC-A66V-01	1.0188
Primary Tumor	TCGA-FC-A6HD-01	1.8311
Primary Tumor	TCGA-FC-A8O0-01	1.2874
Primary Tumor	TCGA-G9-6329-01	1.5781
Primary Tumor	TCGA-G9-6332-01	0.5251
Primary Tumor	TCGA-G9-6333-01	0.4596
Solid Tissue Normal	TCGA-G9-6333-11	2.9768
Primary Tumor	TCGA-G9-6336-01	0.5906
Primary Tumor	TCGA-G9-6338-01	1.0469
Primary Tumor	TCGA-G9-6339-01	1.0627
Primary Tumor	TCGA-G9-6342-01	0
Solid Tissue Normal	TCGA-G9-6342-11	0
Primary Tumor	TCGA-G9-6343-01	3.2991
Primary Tumor	TCGA-G9-6347-01	4.3157
Primary Tumor	TCGA-G9-6348-01	0.4008
Solid Tissue Normal	TCGA-G9-6348-11	1.4361
Primary Tumor	TCGA-G9-6351-01	0.4442
Solid Tissue Normal	TCGA-G9-6351-11	1.3477
Primary Tumor	TCGA-G9-6353-01	0.7988
Primary Tumor	TCGA-G9-6354-01	1.7116
Primary Tumor	TCGA-G9-6356-01	3.3414
Solid Tissue Normal	TCGA-G9-6356-11	0.4401
Primary Tumor	TCGA-G9-6361-01	0.4041
Primary Tumor	TCGA-G9-6362-01	0
Solid Tissue Normal	TCGA-G9-6362-11	1.2407
Primary Tumor	TCGA-G9-6363-01	0
Solid Tissue Normal	TCGA-G9-6363-11	0
Primary Tumor	TCGA-G9-6364-01	0
Primary Tumor	TCGA-G9-6365-01	0.4252
Solid Tissue Normal	TCGA-G9-6365-11	1.2804
Primary Tumor	TCGA-G9-6366-01	1.3791
Primary Tumor	TCGA-G9-6367-01	2.9622
Primary Tumor	TCGA-G9-6369-01	0
Primary Tumor	TCGA-G9-6370-01	2.1815
Primary Tumor	TCGA-G9-6371-01	2.0076
Primary Tumor	TCGA-G9-6373-01	0.5183
Primary Tumor	TCGA-G9-6377-01	0
Primary Tumor	TCGA-G9-6378-01	1.7532
Primary Tumor	TCGA-G9-6379-01	2.0317
Primary Tumor	TCGA-G9-6384-01	2.0842
Solid Tissue Normal	TCGA-G9-6384-11	2.8597
Primary Tumor	TCGA-G9-6385-01	0.4371
Primary Tumor	TCGA-G9-6494-01	0
Primary Tumor	TCGA-G9-6496-01	0.7811
Solid Tissue Normal	TCGA-G9-6496-11	4.2816
Primary Tumor	TCGA-G9-6498-01	0
Primary Tumor	TCGA-G9-6499-01	1.819
Solid Tissue Normal	TCGA-G9-6499-11	2.5262
Primary Tumor	TCGA-G9-7509-01	3.0487
Primary Tumor	TCGA-G9-7510-01	2.0835
Primary Tumor	TCGA-G9-7519-01	4.2613
Primary Tumor	TCGA-G9-7521-01	0.6302
Primary Tumor	TCGA-G9-7522-01	3.3053
Primary Tumor	TCGA-G9-7523-01	3.208
Primary Tumor	TCGA-G9-7525-01	0
Primary Tumor	TCGA-G9-A9S0-01	0
Primary Tumor	TCGA-G9-A9S4-01	0
Primary Tumor	TCGA-G9-A9S7-01	0.4942
Primary Tumor	TCGA-H9-7775-01	0
Primary Tumor	TCGA-H9-A6BX-01	4.5854
Primary Tumor	TCGA-H9-A6BY-01	0.5582
Primary Tumor	TCGA-HC-7075-01	1.1627
Primary Tumor	TCGA-HC-7077-01	0
Primary Tumor	TCGA-HC-7078-01	1.2097
Primary Tumor	TCGA-HC-7079-01	1.588
Primary Tumor	TCGA-HC-7080-01	3.3121
Primary Tumor	TCGA-HC-7081-01	0.5804
Primary Tumor	TCGA-HC-7209-01	0.4721
Primary Tumor	TCGA-HC-7210-01	1.1965
Primary Tumor	TCGA-HC-7211-01	0.3728
Solid Tissue Normal	TCGA-HC-7211-11	1.0874
Primary Tumor	TCGA-HC-7212-01	1.8253
Primary Tumor	TCGA-HC-7213-01	0.4395
Primary Tumor	TCGA-HC-7230-01	0
Primary Tumor	TCGA-HC-7231-01	0.4458
Primary Tumor	TCGA-HC-7232-01	1.9902
Primary Tumor	TCGA-HC-7233-01	2.9444
Primary Tumor	TCGA-HC-7736-01	3.5587
Primary Tumor	TCGA-HC-7737-01	2.0267
Solid Tissue Normal	TCGA-HC-7737-11	2.9982
Primary Tumor	TCGA-HC-7738-01	1.5327
Solid Tissue Normal	TCGA-HC-7738-11	3.1264
Primary Tumor	TCGA-HC-7740-01	0.8833
Solid Tissue Normal	TCGA-HC-7740-11	0.6734
Primary Tumor	TCGA-HC-7742-01	0.4596
Solid Tissue Normal	TCGA-HC-7742-11	0.5087
Primary Tumor	TCGA-HC-7744-01	1.2886
Primary Tumor	TCGA-HC-7745-01	3.7591
Solid Tissue Normal	TCGA-HC-7745-11	4.1771
Primary Tumor	TCGA-HC-7747-01	0.869
Solid Tissue Normal	TCGA-HC-7747-11	2.0883
Primary Tumor	TCGA-HC-7748-01	0.8428
Primary Tumor	TCGA-HC-7749-01	0
Primary Tumor	TCGA-HC-7750-01	2.6635
Primary Tumor	TCGA-HC-7752-01	1.9874
Solid Tissue Normal	TCGA-HC-7752-11	0.5408
Primary Tumor	TCGA-HC-7817-01	0.5466
Primary Tumor	TCGA-HC-7818-01	2.2111
Primary Tumor	TCGA-HC-7819-01	0.8195
Solid Tissue Normal	TCGA-HC-7819-11	0.425
Primary Tumor	TCGA-HC-7820-01	1.2884
Primary Tumor	TCGA-HC-7821-01	0
Primary Tumor	TCGA-HC-8213-01	0.5804
Primary Tumor	TCGA-HC-8216-01	1.316
Primary Tumor	TCGA-HC-8256-01	2.1905
Primary Tumor	TCGA-HC-8257-01	0.4883
Primary Tumor	TCGA-HC-8258-01	0.3771
Solid Tissue Normal	TCGA-HC-8258-11	0
Primary Tumor	TCGA-HC-8259-01	0
Solid Tissue Normal	TCGA-HC-8259-11	0.4247
Primary Tumor	TCGA-HC-8260-01	0.7046
Solid Tissue Normal	TCGA-HC-8260-11	0
Primary Tumor	TCGA-HC-8261-01	1.23
Primary Tumor	TCGA-HC-8262-01	0.4102
Solid Tissue Normal	TCGA-HC-8262-11	1.161
Primary Tumor	TCGA-HC-8264-01	1.4513
Primary Tumor	TCGA-HC-8265-01	2.4518
Primary Tumor	TCGA-HC-8266-01	0.4774
Primary Tumor	TCGA-HC-A48F-01	1.8031
Primary Tumor	TCGA-HC-A4ZV-01	0
Primary Tumor	TCGA-HC-A631-01	0
Primary Tumor	TCGA-HC-A632-01	0
Primary Tumor	TCGA-HC-A6AL-01	1.9876
Primary Tumor	TCGA-HC-A6AN-01	2.1523
Primary Tumor	TCGA-HC-A6AO-01	3.7544
Primary Tumor	TCGA-HC-A6AP-01	4.6487
Primary Tumor	TCGA-HC-A6AQ-01	2.0608
Primary Tumor	TCGA-HC-A6AS-01	4.9006
Primary Tumor	TCGA-HC-A6HX-01	0
Primary Tumor	TCGA-HC-A6HY-01	2.824
Primary Tumor	TCGA-HC-A76W-01	1.2813
Primary Tumor	TCGA-HC-A76X-01	0.3774
Primary Tumor	TCGA-HC-A8CY-01	0.4837
Primary Tumor	TCGA-HC-A8D0-01	0.664
Primary Tumor	TCGA-HC-A8D1-01	1.9978
Primary Tumor	TCGA-HC-A9TE-01	1.5119
Primary Tumor	TCGA-HC-A9TH-01	0
Primary Tumor	TCGA-HI-7168-01	2.0556
Primary Tumor	TCGA-HI-7169-01	0
Primary Tumor	TCGA-HI-7170-01	0.5336
Primary Tumor	TCGA-HI-7171-01	0
Primary Tumor	TCGA-J4-8198-01	3.3112
Primary Tumor	TCGA-J4-8200-01	1.2607
Primary Tumor	TCGA-J4-A67K-01	0
Primary Tumor	TCGA-J4-A67L-01	0.8733
Primary Tumor	TCGA-J4-A67M-01	2.744
Primary Tumor	TCGA-J4-A67N-01	1.3714
Primary Tumor	TCGA-J4-A67O-01	4.858
Primary Tumor	TCGA-J4-A67Q-01	4.8506
Primary Tumor	TCGA-J4-A67R-01	3.1782
Primary Tumor	TCGA-J4-A67S-01	3.4633
Primary Tumor	TCGA-J4-A67T-01	0.5144
Primary Tumor	TCGA-J4-A6G1-01	5.713
Primary Tumor	TCGA-J4-A6G3-01	2.1258
Primary Tumor	TCGA-J4-A6M7-01	0.7885
Primary Tumor	TCGA-J4-A83I-01	1.0557
Primary Tumor	TCGA-J4-A83J-01	3.0486
Solid Tissue Normal	TCGA-J4-A83J-11	2.626
Primary Tumor	TCGA-J4-A83K-01	0.4321
Primary Tumor	TCGA-J4-A83L-01	1.0865
Primary Tumor	TCGA-J4-A83M-01	1.1798
Primary Tumor	TCGA-J4-A83N-01	0
Primary Tumor	TCGA-J4-AATV-01	2.4975
Primary Tumor	TCGA-J4-AATZ-01	0
Primary Tumor	TCGA-J4-AAU2-01	0.9871
Primary Tumor	TCGA-J9-A52B-01	1.8246
Primary Tumor	TCGA-J9-A52C-01	3.8811
Primary Tumor	TCGA-J9-A52D-01	0.5458
Primary Tumor	TCGA-J9-A52E-01	0
Primary Tumor	TCGA-J9-A8CK-01	0.94
Primary Tumor	TCGA-J9-A8CL-01	0.642
Primary Tumor	TCGA-J9-A8CM-01	1.0692
Primary Tumor	TCGA-J9-A8CN-01	1.0822
Primary Tumor	TCGA-J9-A8CP-01	2.9098
Primary Tumor	TCGA-KC-A4BL-01	3.4312
Primary Tumor	TCGA-KC-A4BN-01	0.6273
Primary Tumor	TCGA-KC-A4BR-01	5.4521
Primary Tumor	TCGA-KC-A4BV-01	0.6141
Primary Tumor	TCGA-KC-A7F3-01	1.7947
Primary Tumor	TCGA-KC-A7F5-01	0
Primary Tumor	TCGA-KC-A7F6-01	4.1646
Primary Tumor	TCGA-KC-A7FA-01	3.1565
Primary Tumor	TCGA-KC-A7FD-01	0.815
Primary Tumor	TCGA-KC-A7FE-01	1.6411
Primary Tumor	TCGA-KK-A59V-01	0
Primary Tumor	TCGA-KK-A59X-01	0.6134
Primary Tumor	TCGA-KK-A59Y-01	2.1088
Primary Tumor	TCGA-KK-A59Z-01	0.6594
Primary Tumor	TCGA-KK-A5A1-01	0.5804
Primary Tumor	TCGA-KK-A6DY-01	3.9574
Primary Tumor	TCGA-KK-A6E0-01	1.2019
Primary Tumor	TCGA-KK-A6E1-01	0
Primary Tumor	TCGA-KK-A6E2-01	0.4852
Primary Tumor	TCGA-KK-A6E3-01	1.1037
Primary Tumor	TCGA-KK-A6E4-01	0
Primary Tumor	TCGA-KK-A6E5-01	0.5403
Primary Tumor	TCGA-KK-A6E6-01	2.4601
Primary Tumor	TCGA-KK-A6E7-01	0.4716
Primary Tumor	TCGA-KK-A6E8-01	0.5878
Primary Tumor	TCGA-KK-A7AP-01	0.4797
Primary Tumor	TCGA-KK-A7AQ-01	0
Primary Tumor	TCGA-KK-A7AU-01	0
Primary Tumor	TCGA-KK-A7AV-01	2.9706
Primary Tumor	TCGA-KK-A7AW-01	0
Primary Tumor	TCGA-KK-A7AY-01	0.7604
Primary Tumor	TCGA-KK-A7AZ-01	2.0632
Primary Tumor	TCGA-KK-A7B0-01	2.5324
Primary Tumor	TCGA-KK-A7B1-01	3.0968
Primary Tumor	TCGA-KK-A7B2-01	0.6406
Primary Tumor	TCGA-KK-A7B3-01	5.1507
Primary Tumor	TCGA-KK-A7B4-01	0.4212
Primary Tumor	TCGA-KK-A8I4-01	1.9106
Primary Tumor	TCGA-KK-A8I5-01	1.8813
Primary Tumor	TCGA-KK-A8I6-01	0.8255
Primary Tumor	TCGA-KK-A8I7-01	0.9007
Primary Tumor	TCGA-KK-A8I8-01	0
Primary Tumor	TCGA-KK-A8I9-01	2.3019
Primary Tumor	TCGA-KK-A8IA-01	0.7537
Primary Tumor	TCGA-KK-A8IB-01	1.3691
Primary Tumor	TCGA-KK-A8IC-01	0.4602
Primary Tumor	TCGA-KK-A8ID-01	0
Primary Tumor	TCGA-KK-A8IF-01	0
Primary Tumor	TCGA-KK-A8IG-01	1.9839
Primary Tumor	TCGA-KK-A8IH-01	0
Primary Tumor	TCGA-KK-A8II-01	0
Primary Tumor	TCGA-KK-A8IJ-01	3.2784
Primary Tumor	TCGA-KK-A8IK-01	1.6908
Primary Tumor	TCGA-KK-A8IL-01	0
Primary Tumor	TCGA-KK-A8IM-01	1.4264
Primary Tumor	TCGA-M7-A71Y-01	3.2609
Primary Tumor	TCGA-M7-A71Z-01	0
Primary Tumor	TCGA-M7-A720-01	2.9191
Primary Tumor	TCGA-M7-A721-01	0
Primary Tumor	TCGA-M7-A722-01	0
Primary Tumor	TCGA-M7-A723-01	0
Primary Tumor	TCGA-M7-A724-01	0
Primary Tumor	TCGA-M7-A725-01	0.4349
Primary Tumor	TCGA-MG-AAMC-01	1.566
Primary Tumor	TCGA-QU-A6IL-01	2.3406
Primary Tumor	TCGA-QU-A6IM-01	2.7034
Primary Tumor	TCGA-QU-A6IN-01	0
Primary Tumor	TCGA-QU-A6IO-01	3.1748
Primary Tumor	TCGA-QU-A6IP-01	1.4217
Primary Tumor	TCGA-SU-A7E7-01	1.2187
Primary Tumor	TCGA-TK-A8OK-01	2.4406
Primary Tumor	TCGA-TP-A8TT-01	1.9251
Primary Tumor	TCGA-TP-A8TV-01	1.0245
Primary Tumor	TCGA-V1-A8MF-01	3.4207
Primary Tumor	TCGA-V1-A8MG-01	1.2235
Primary Tumor	TCGA-V1-A8MJ-01	2.1751
Primary Tumor	TCGA-V1-A8MK-01	0.8996
Primary Tumor	TCGA-V1-A8ML-01	1.81
Primary Tumor	TCGA-V1-A8MM-01	0.576
Primary Tumor	TCGA-V1-A8MU-01	2.6371
Primary Tumor	TCGA-V1-A8WL-01	1.4869
Primary Tumor	TCGA-V1-A8WN-01	2.089
Primary Tumor	TCGA-V1-A8WS-01	0.7297
Primary Tumor	TCGA-V1-A8WV-01	2.0859
Primary Tumor	TCGA-V1-A8WW-01	0
Primary Tumor	TCGA-V1-A8X3-01	3.055
Primary Tumor	TCGA-V1-A9O5-01	0.4036
Primary Tumor	TCGA-V1-A9O7-01	2.267
Primary Tumor	TCGA-V1-A9O9-01	1.0555
Primary Tumor	TCGA-V1-A9OA-01	0.7575
Primary Tumor	TCGA-V1-A9OF-01	1.4004
Primary Tumor	TCGA-V1-A9OH-01	0
Primary Tumor	TCGA-V1-A9OL-01	0.8316
Primary Tumor	TCGA-V1-A9OQ-01	0
