sample_type	sampleID	PPP1R1A
Primary Tumor	TCGA-YL-A8SF-01	3.5887
Primary Tumor	TCGA-YL-A8SH-01	6.2589
Primary Tumor	TCGA-YL-A8SI-01	6.9581
Primary Tumor	TCGA-YL-A8SJ-01	5.4103
Primary Tumor	TCGA-YL-A8SK-01	7.1998
Primary Tumor	TCGA-YL-A8SL-01	4.5363
Primary Tumor	TCGA-YL-A8SO-01	5.1779
Primary Tumor	TCGA-YL-A8SP-01	3.7304
Primary Tumor	TCGA-YL-A8SQ-01	4.3385
Primary Tumor	TCGA-YL-A8SR-01	4.2741
Primary Tumor	TCGA-YL-A9WH-01	1.5795
Primary Tumor	TCGA-YL-A9WI-01	2.3031
Primary Tumor	TCGA-YL-A9WJ-01	2.8376
Primary Tumor	TCGA-YL-A9WK-01	4.5209
Primary Tumor	TCGA-YL-A9WL-01	2.7346
Primary Tumor	TCGA-YL-A9WX-01	5.4946
Primary Tumor	TCGA-YL-A9WY-01	3.6965
Primary Tumor	TCGA-ZG-A8QW-01	6.2741
Primary Tumor	TCGA-ZG-A8QX-01	8.6075
Primary Tumor	TCGA-ZG-A8QY-01	6.3179
Primary Tumor	TCGA-ZG-A8QZ-01	5.4819
Primary Tumor	TCGA-ZG-A9KY-01	4.9412
Primary Tumor	TCGA-ZG-A9L0-01	4.563
Primary Tumor	TCGA-ZG-A9L1-01	6.2475
Primary Tumor	TCGA-ZG-A9L2-01	5.0575
Primary Tumor	TCGA-ZG-A9L4-01	5.7707
Primary Tumor	TCGA-ZG-A9L5-01	1.5706
Primary Tumor	TCGA-ZG-A9L6-01	6.818
Primary Tumor	TCGA-ZG-A9L9-01	3.9403
Primary Tumor	TCGA-ZG-A9LB-01	6.8553
Primary Tumor	TCGA-ZG-A9LM-01	2.7178
Primary Tumor	TCGA-ZG-A9LN-01	6.154
Primary Tumor	TCGA-ZG-A9LS-01	4.105
Primary Tumor	TCGA-ZG-A9LU-01	6.1627
Primary Tumor	TCGA-ZG-A9LY-01	4.1984
Primary Tumor	TCGA-ZG-A9LZ-01	4.4505
Primary Tumor	TCGA-ZG-A9M4-01	4.0337
Primary Tumor	TCGA-ZG-A9MC-01	4.2868
Primary Tumor	TCGA-ZG-A9N3-01	3.4948
Primary Tumor	TCGA-ZG-A9ND-01	5.7055
Primary Tumor	TCGA-ZG-A9NI-01	6.2074
