sample_type	sampleID	PPP1R1A
Primary Tumor	TCGA-EJ-7786-01	6.5847
Solid Tissue Normal	TCGA-EJ-7786-11	8.9251
Primary Tumor	TCGA-EJ-7788-01	5.3652
Primary Tumor	TCGA-EJ-7789-01	2.8812
Solid Tissue Normal	TCGA-EJ-7789-11	5.6938
Primary Tumor	TCGA-EJ-7791-01	5.7984
Primary Tumor	TCGA-EJ-7792-01	6.4326
Solid Tissue Normal	TCGA-EJ-7792-11	7.0738
Primary Tumor	TCGA-EJ-7793-01	6.2539
Solid Tissue Normal	TCGA-EJ-7793-11	7.7644
Primary Tumor	TCGA-EJ-7794-01	5.3744
Solid Tissue Normal	TCGA-EJ-7794-11	6.6246
Primary Tumor	TCGA-EJ-7797-01	5.671
Solid Tissue Normal	TCGA-EJ-7797-11	7.2939
Primary Tumor	TCGA-EJ-8468-01	4.6701
Primary Tumor	TCGA-EJ-8469-01	4.6041
Primary Tumor	TCGA-EJ-8470-01	3.1059
Primary Tumor	TCGA-EJ-8472-01	5.3687
Primary Tumor	TCGA-EJ-8474-01	4.3935
Primary Tumor	TCGA-EJ-A46B-01	6.8199
Primary Tumor	TCGA-EJ-A46D-01	6.6022
Primary Tumor	TCGA-EJ-A46E-01	3.4912
Primary Tumor	TCGA-EJ-A46F-01	4.2507
Primary Tumor	TCGA-EJ-A46G-01	3.2773
Primary Tumor	TCGA-EJ-A46H-01	5.8256
Primary Tumor	TCGA-EJ-A46I-01	5.7368
Primary Tumor	TCGA-EJ-A65B-01	5.6783
Primary Tumor	TCGA-EJ-A65D-01	4.6704
Primary Tumor	TCGA-EJ-A65E-01	4.5021
Primary Tumor	TCGA-EJ-A65F-01	1.6481
Primary Tumor	TCGA-EJ-A65G-01	4.5238
Primary Tumor	TCGA-EJ-A65J-01	2.672
Primary Tumor	TCGA-EJ-A65M-01	5.35
Primary Tumor	TCGA-EJ-A6RA-01	6.5996
Primary Tumor	TCGA-EJ-A6RC-01	6.6936
Primary Tumor	TCGA-EJ-A7NF-01	5.3839
Primary Tumor	TCGA-EJ-A7NG-01	7.3498
Primary Tumor	TCGA-EJ-A7NH-01	6.1043
Primary Tumor	TCGA-EJ-A7NJ-01	5.7246
Primary Tumor	TCGA-EJ-A7NK-01	7.435
Primary Tumor	TCGA-EJ-A7NM-01	4.0496
Primary Tumor	TCGA-EJ-A7NN-01	5.9304
Primary Tumor	TCGA-EJ-A8FN-01	7.7844
Primary Tumor	TCGA-EJ-A8FO-01	5.7098
Solid Tissue Normal	TCGA-EJ-A8FO-11	6.9425
Primary Tumor	TCGA-EJ-A8FP-01	7.486
Primary Tumor	TCGA-EJ-A8FS-01	3.4833
Primary Tumor	TCGA-EJ-A8FU-01	7.4169
Primary Tumor	TCGA-EJ-AB20-01	8.7931
Primary Tumor	TCGA-EJ-AB27-01	4.4008
Primary Tumor	TCGA-FC-7708-01	6.1008
Primary Tumor	TCGA-FC-7961-01	4.1071
Primary Tumor	TCGA-FC-A4JI-01	8.4692
Primary Tumor	TCGA-FC-A5OB-01	1.5277
Primary Tumor	TCGA-FC-A66V-01	6.1765
Primary Tumor	TCGA-FC-A6HD-01	3.7855
Primary Tumor	TCGA-FC-A8O0-01	6.2374
Primary Tumor	TCGA-G9-6329-01	8.5799
Primary Tumor	TCGA-G9-6332-01	4.1079
Primary Tumor	TCGA-G9-6333-01	6.6821
Solid Tissue Normal	TCGA-G9-6333-11	7.3674
Primary Tumor	TCGA-G9-6336-01	6.7981
Primary Tumor	TCGA-G9-6338-01	10.7805
Primary Tumor	TCGA-G9-6339-01	5.2693
Primary Tumor	TCGA-G9-6342-01	6.8646
