sample_type	sampleID	RELN
Primary Tumor	TCGA-YL-A8SH-01	6.9743
Primary Tumor	TCGA-YL-A8SI-01	7.9069
Primary Tumor	TCGA-YL-A8SJ-01	8.6559
Primary Tumor	TCGA-YL-A8SK-01	5.8411
Primary Tumor	TCGA-YL-A8SL-01	9.5307
Primary Tumor	TCGA-YL-A8SO-01	5.9244
Primary Tumor	TCGA-YL-A8SP-01	11.8691
Primary Tumor	TCGA-YL-A8SQ-01	10.6243
Primary Tumor	TCGA-YL-A8SR-01	7.2418
Primary Tumor	TCGA-YL-A9WH-01	8.6465
Primary Tumor	TCGA-YL-A9WI-01	6.1265
Primary Tumor	TCGA-YL-A9WJ-01	6.808
Primary Tumor	TCGA-YL-A9WK-01	8.5445
Primary Tumor	TCGA-YL-A9WL-01	5.2217
Primary Tumor	TCGA-YL-A9WX-01	8.1743
Primary Tumor	TCGA-YL-A9WY-01	8.5193
Primary Tumor	TCGA-ZG-A8QW-01	6.3196
Primary Tumor	TCGA-ZG-A8QX-01	7.5696
Primary Tumor	TCGA-ZG-A8QY-01	10.1122
Primary Tumor	TCGA-ZG-A8QZ-01	6.2449
Primary Tumor	TCGA-ZG-A9KY-01	7.5967
Primary Tumor	TCGA-ZG-A9L0-01	11.2374
Primary Tumor	TCGA-ZG-A9L1-01	12.9242
Primary Tumor	TCGA-ZG-A9L2-01	5.5178
Primary Tumor	TCGA-ZG-A9L4-01	5.4282
Primary Tumor	TCGA-ZG-A9L5-01	7.7885
Primary Tumor	TCGA-ZG-A9L6-01	4.6677
Primary Tumor	TCGA-ZG-A9L9-01	7.0803
Primary Tumor	TCGA-ZG-A9LB-01	5.1657
Primary Tumor	TCGA-ZG-A9LM-01	9.05
Primary Tumor	TCGA-ZG-A9LN-01	6.1444
Primary Tumor	TCGA-ZG-A9LS-01	7.0475
Primary Tumor	TCGA-ZG-A9LU-01	3.9191
Primary Tumor	TCGA-ZG-A9LY-01	5.5975
Primary Tumor	TCGA-ZG-A9LZ-01	5.6056
Primary Tumor	TCGA-ZG-A9M4-01	7.1008
Primary Tumor	TCGA-ZG-A9MC-01	7.7191
Primary Tumor	TCGA-ZG-A9N3-01	6.8329
Primary Tumor	TCGA-ZG-A9ND-01	9.35
Primary Tumor	TCGA-ZG-A9NI-01	6.222
