sample_type	sampleID	RELN
Primary Tumor	TCGA-EJ-7786-01	6.6829
Solid Tissue Normal	TCGA-EJ-7786-11	6.5398
Primary Tumor	TCGA-EJ-7788-01	6.2557
Primary Tumor	TCGA-EJ-7789-01	12.1863
Solid Tissue Normal	TCGA-EJ-7789-11	5.6566
Primary Tumor	TCGA-EJ-7791-01	7.8075
Primary Tumor	TCGA-EJ-7792-01	6.8269
Solid Tissue Normal	TCGA-EJ-7792-11	5.4485
Primary Tumor	TCGA-EJ-7793-01	6.0458
Solid Tissue Normal	TCGA-EJ-7793-11	7.3758
Primary Tumor	TCGA-EJ-7794-01	7.4071
Solid Tissue Normal	TCGA-EJ-7794-11	7.2743
Primary Tumor	TCGA-EJ-7797-01	4.6077
Solid Tissue Normal	TCGA-EJ-7797-11	4.6677
Primary Tumor	TCGA-EJ-8468-01	8.7248
Primary Tumor	TCGA-EJ-8469-01	11.1965
Primary Tumor	TCGA-EJ-8470-01	5.3998
Primary Tumor	TCGA-EJ-8472-01	5.946
Primary Tumor	TCGA-EJ-8474-01	7.8879
Primary Tumor	TCGA-EJ-A46B-01	6.9162
Primary Tumor	TCGA-EJ-A46D-01	6.6448
Primary Tumor	TCGA-EJ-A46E-01	5.9651
Primary Tumor	TCGA-EJ-A46F-01	5.1663
Primary Tumor	TCGA-EJ-A46G-01	9.4262
Primary Tumor	TCGA-EJ-A46H-01	7.4138
Primary Tumor	TCGA-EJ-A46I-01	6.7847
Primary Tumor	TCGA-EJ-A65B-01	6.21
Primary Tumor	TCGA-EJ-A65D-01	4.1252
Primary Tumor	TCGA-EJ-A65E-01	8.8265
Primary Tumor	TCGA-EJ-A65F-01	5.0072
Primary Tumor	TCGA-EJ-A65G-01	7.444
Primary Tumor	TCGA-EJ-A65J-01	12.5507
Primary Tumor	TCGA-EJ-A65M-01	8.0175
Primary Tumor	TCGA-EJ-A6RA-01	5.5462
Primary Tumor	TCGA-EJ-A6RC-01	5.3871
Primary Tumor	TCGA-EJ-A7NF-01	4.865
Primary Tumor	TCGA-EJ-A7NG-01	6.4643
Primary Tumor	TCGA-EJ-A7NH-01	8.7372
Primary Tumor	TCGA-EJ-A7NJ-01	5.8098
Primary Tumor	TCGA-EJ-A7NK-01	5.5321
Primary Tumor	TCGA-EJ-A7NM-01	8.0076
Primary Tumor	TCGA-EJ-A7NN-01	5.4961
Primary Tumor	TCGA-EJ-A8FN-01	7.2938
Primary Tumor	TCGA-EJ-A8FO-01	5.6464
Solid Tissue Normal	TCGA-EJ-A8FO-11	8.5901
Primary Tumor	TCGA-EJ-A8FP-01	6.0597
Primary Tumor	TCGA-EJ-A8FS-01	7.1778
Primary Tumor	TCGA-EJ-A8FU-01	6.2586
Primary Tumor	TCGA-EJ-AB20-01	4.7821
Primary Tumor	TCGA-EJ-AB27-01	6.7044
Primary Tumor	TCGA-FC-7708-01	5.1706
Primary Tumor	TCGA-FC-7961-01	7.6908
Primary Tumor	TCGA-FC-A4JI-01	8.055
Primary Tumor	TCGA-FC-A5OB-01	5.7974
Primary Tumor	TCGA-FC-A66V-01	5.857
Primary Tumor	TCGA-FC-A6HD-01	10.8305
Primary Tumor	TCGA-FC-A8O0-01	3.8529
Primary Tumor	TCGA-G9-6329-01	7.4409
Primary Tumor	TCGA-G9-6332-01	5.4456
Primary Tumor	TCGA-G9-6333-01	7.4978
Solid Tissue Normal	TCGA-G9-6333-11	5.1275
Primary Tumor	TCGA-G9-6336-01	5.374
Primary Tumor	TCGA-G9-6338-01	6.358
Primary Tumor	TCGA-G9-6339-01	4.5436
Primary Tumor	TCGA-G9-6342-01	4.2328
Solid Tissue Normal	TCGA-G9-6342-11	6.0374
Primary Tumor	TCGA-G9-6343-01	7.2084
Primary Tumor	TCGA-G9-6347-01	6.5574
Primary Tumor	TCGA-G9-6348-01	5.4979
Solid Tissue Normal	TCGA-G9-6348-11	6.3877
Primary Tumor	TCGA-G9-6351-01	5.8574
Solid Tissue Normal	TCGA-G9-6351-11	5.7833
Primary Tumor	TCGA-G9-6353-01	6.6823
Primary Tumor	TCGA-G9-6354-01	4.4992
Primary Tumor	TCGA-G9-6356-01	7.1208
Solid Tissue Normal	TCGA-G9-6356-11	3.5038
Primary Tumor	TCGA-G9-6361-01	6.9676
Primary Tumor	TCGA-G9-6362-01	5.8228
Solid Tissue Normal	TCGA-G9-6362-11	5.223
Primary Tumor	TCGA-G9-6363-01	4.1247
Solid Tissue Normal	TCGA-G9-6363-11	7.4145
Primary Tumor	TCGA-G9-6364-01	8.055
Primary Tumor	TCGA-G9-6365-01	4.4982
Solid Tissue Normal	TCGA-G9-6365-11	6.106
Primary Tumor	TCGA-G9-6366-01	5.3585
Primary Tumor	TCGA-G9-6367-01	6.4397
Primary Tumor	TCGA-G9-6369-01	8.8438
Primary Tumor	TCGA-G9-6370-01	6.5216
Primary Tumor	TCGA-G9-6371-01	5.9564
Primary Tumor	TCGA-G9-6373-01	4.926
Primary Tumor	TCGA-G9-6377-01	8.1208
Primary Tumor	TCGA-G9-6378-01	5.9276
Primary Tumor	TCGA-G9-6379-01	5.5458
Primary Tumor	TCGA-G9-6384-01	6.1095
Solid Tissue Normal	TCGA-G9-6384-11	6.7765
Primary Tumor	TCGA-G9-6385-01	6.255
Primary Tumor	TCGA-G9-6494-01	10.2552
Primary Tumor	TCGA-G9-6496-01	9.5318
Solid Tissue Normal	TCGA-G9-6496-11	6.5813
Primary Tumor	TCGA-G9-6498-01	4.7543
Primary Tumor	TCGA-G9-6499-01	6.5296
Solid Tissue Normal	TCGA-G9-6499-11	12.3666
Primary Tumor	TCGA-G9-7509-01	6.6662
Primary Tumor	TCGA-G9-7510-01	9.079
Primary Tumor	TCGA-G9-7519-01	6.7871
Primary Tumor	TCGA-G9-7521-01	10.9633
Primary Tumor	TCGA-G9-7522-01	6.8224
Primary Tumor	TCGA-G9-7523-01	7.0692
Primary Tumor	TCGA-G9-7525-01	4.1234
Primary Tumor	TCGA-G9-A9S0-01	5.7404
Primary Tumor	TCGA-G9-A9S4-01	7.188
Primary Tumor	TCGA-G9-A9S7-01	6.6418
Primary Tumor	TCGA-H9-7775-01	7.2279
Primary Tumor	TCGA-H9-A6BX-01	5.9768
Primary Tumor	TCGA-H9-A6BY-01	5.2776
Primary Tumor	TCGA-HC-7075-01	7.18
Primary Tumor	TCGA-HC-7077-01	5.7897
Primary Tumor	TCGA-HC-7078-01	7.197
Primary Tumor	TCGA-HC-7079-01	5.5591
Primary Tumor	TCGA-HC-7080-01	11.5228
Primary Tumor	TCGA-HC-7081-01	4.4464
Primary Tumor	TCGA-HC-7209-01	5.2247
Primary Tumor	TCGA-HC-7210-01	8.5244
Primary Tumor	TCGA-HC-7211-01	6.2517
Solid Tissue Normal	TCGA-HC-7211-11	6.2655
Primary Tumor	TCGA-HC-7212-01	9.8924
Primary Tumor	TCGA-HC-7213-01	5.9765
Primary Tumor	TCGA-HC-7230-01	5.615
Primary Tumor	TCGA-HC-7231-01	6.397
Primary Tumor	TCGA-HC-7232-01	5.3212
Primary Tumor	TCGA-HC-7233-01	6.1312
Primary Tumor	TCGA-HC-7736-01	6.0146
Primary Tumor	TCGA-HC-7737-01	6.4634
Solid Tissue Normal	TCGA-HC-7737-11	7.769
Primary Tumor	TCGA-HC-7738-01	6.2912
Solid Tissue Normal	TCGA-HC-7738-11	8.2685
Primary Tumor	TCGA-HC-7740-01	5.9887
Solid Tissue Normal	TCGA-HC-7740-11	7.2875
Primary Tumor	TCGA-HC-7742-01	9.016
Solid Tissue Normal	TCGA-HC-7742-11	7.8008
Primary Tumor	TCGA-HC-7744-01	5.2401
Primary Tumor	TCGA-HC-7745-01	5.6769
Solid Tissue Normal	TCGA-HC-7745-11	6.8241
Primary Tumor	TCGA-HC-7747-01	6.8094
Solid Tissue Normal	TCGA-HC-7747-11	8.2415
Primary Tumor	TCGA-HC-7748-01	6.8288
Primary Tumor	TCGA-HC-7749-01	8.6198
Primary Tumor	TCGA-HC-7750-01	6.7431
Primary Tumor	TCGA-HC-7752-01	7.7597
Solid Tissue Normal	TCGA-HC-7752-11	5.1337
Primary Tumor	TCGA-HC-7817-01	7.1816
Primary Tumor	TCGA-HC-7818-01	8.0319
Primary Tumor	TCGA-HC-7819-01	5.2515
Solid Tissue Normal	TCGA-HC-7819-11	6.0833
Primary Tumor	TCGA-HC-7820-01	5.953
Primary Tumor	TCGA-HC-7821-01	11.523
Primary Tumor	TCGA-HC-8213-01	5.2346
Primary Tumor	TCGA-HC-8216-01	9.5835
Primary Tumor	TCGA-HC-8256-01	5.6585
Primary Tumor	TCGA-HC-8257-01	7.0213
Primary Tumor	TCGA-HC-8258-01	7.122
Solid Tissue Normal	TCGA-HC-8258-11	5.9766
Primary Tumor	TCGA-HC-8259-01	6.325
Solid Tissue Normal	TCGA-HC-8259-11	6.5773
Primary Tumor	TCGA-HC-8260-01	6.3727
Solid Tissue Normal	TCGA-HC-8260-11	5.8807
Primary Tumor	TCGA-HC-8261-01	6.8587
Primary Tumor	TCGA-HC-8262-01	5.1774
Solid Tissue Normal	TCGA-HC-8262-11	6.1921
Primary Tumor	TCGA-HC-8264-01	7.2892
Primary Tumor	TCGA-HC-8265-01	6.3483
Primary Tumor	TCGA-HC-8266-01	10.3437
Primary Tumor	TCGA-HC-A48F-01	3.6092
Primary Tumor	TCGA-HC-A4ZV-01	8.8513
Primary Tumor	TCGA-HC-A631-01	4.5492
Primary Tumor	TCGA-HC-A632-01	6.457
Primary Tumor	TCGA-HC-A6AL-01	6.4003
Primary Tumor	TCGA-HC-A6AN-01	4.023
Primary Tumor	TCGA-HC-A6AO-01	7.0987
Primary Tumor	TCGA-HC-A6AP-01	7.0655
Primary Tumor	TCGA-HC-A6AQ-01	4.9499
Primary Tumor	TCGA-HC-A6AS-01	5.2727
Primary Tumor	TCGA-HC-A6HX-01	6.0658
Primary Tumor	TCGA-HC-A6HY-01	7.0795
Primary Tumor	TCGA-HC-A76W-01	10.2235
Primary Tumor	TCGA-HC-A76X-01	5.9819
Primary Tumor	TCGA-HC-A8CY-01	12.7631
Primary Tumor	TCGA-HC-A8D0-01	6.067
Primary Tumor	TCGA-HC-A8D1-01	5.9279
Primary Tumor	TCGA-HC-A9TE-01	7.8648
Primary Tumor	TCGA-HC-A9TH-01	4.5324
Primary Tumor	TCGA-HI-7168-01	11.2046
Primary Tumor	TCGA-HI-7169-01	6.9402
Primary Tumor	TCGA-HI-7170-01	5.7615
Primary Tumor	TCGA-HI-7171-01	8.9543
Primary Tumor	TCGA-J4-8198-01	7.2432
Primary Tumor	TCGA-J4-8200-01	6.8399
Primary Tumor	TCGA-J4-A67K-01	5.1912
Primary Tumor	TCGA-J4-A67L-01	4.7878
Primary Tumor	TCGA-J4-A67M-01	5.7086
Primary Tumor	TCGA-J4-A67N-01	5.472
Primary Tumor	TCGA-J4-A67O-01	6.9466
Primary Tumor	TCGA-J4-A67Q-01	7.6144
Primary Tumor	TCGA-J4-A67R-01	5.9586
Primary Tumor	TCGA-J4-A67S-01	5.2251
Primary Tumor	TCGA-J4-A67T-01	6.3034
Primary Tumor	TCGA-J4-A6G1-01	5.303
Primary Tumor	TCGA-J4-A6G3-01	5.6166
Primary Tumor	TCGA-J4-A6M7-01	6.101
Primary Tumor	TCGA-J4-A83I-01	8.3554
Primary Tumor	TCGA-J4-A83J-01	7.9611
Solid Tissue Normal	TCGA-J4-A83J-11	5.9289
Primary Tumor	TCGA-J4-A83K-01	7.2332
Primary Tumor	TCGA-J4-A83L-01	5.0206
Primary Tumor	TCGA-J4-A83M-01	5.0096
Primary Tumor	TCGA-J4-A83N-01	5.3205
Primary Tumor	TCGA-J4-AATV-01	5.9002
Primary Tumor	TCGA-J4-AATZ-01	4.2087
Primary Tumor	TCGA-J4-AAU2-01	7.486
Primary Tumor	TCGA-J9-A52B-01	5.2713
Primary Tumor	TCGA-J9-A52C-01	8.1965
Primary Tumor	TCGA-J9-A52D-01	7.2678
Primary Tumor	TCGA-J9-A52E-01	5.6803
Primary Tumor	TCGA-J9-A8CK-01	5.8219
Primary Tumor	TCGA-J9-A8CL-01	11.6803
Primary Tumor	TCGA-J9-A8CM-01	7.0884
Primary Tumor	TCGA-J9-A8CN-01	6.5245
Primary Tumor	TCGA-J9-A8CP-01	7.6044
Primary Tumor	TCGA-KC-A4BL-01	6.1192
Primary Tumor	TCGA-KC-A4BN-01	5.9544
Primary Tumor	TCGA-KC-A4BR-01	8.1194
Primary Tumor	TCGA-KC-A4BV-01	8.2043
Primary Tumor	TCGA-KC-A7F3-01	7.1515
Primary Tumor	TCGA-KC-A7F5-01	10.0138
Primary Tumor	TCGA-KC-A7F6-01	5.0843
Primary Tumor	TCGA-KC-A7FA-01	8.1143
Primary Tumor	TCGA-KC-A7FD-01	7.4186
Primary Tumor	TCGA-KC-A7FE-01	6.6403
Primary Tumor	TCGA-KK-A59V-01	6.9268
Primary Tumor	TCGA-KK-A59X-01	8.7667
Primary Tumor	TCGA-KK-A59Y-01	3.9919
Primary Tumor	TCGA-KK-A59Z-01	7.2664
Primary Tumor	TCGA-KK-A5A1-01	12.1635
Primary Tumor	TCGA-KK-A6DY-01	7.7105
Primary Tumor	TCGA-KK-A6E0-01	9.9068
Primary Tumor	TCGA-KK-A6E1-01	3.2918
Primary Tumor	TCGA-KK-A6E2-01	5.7274
Primary Tumor	TCGA-KK-A6E3-01	6.899
Primary Tumor	TCGA-KK-A6E4-01	7.7055
Primary Tumor	TCGA-KK-A6E5-01	6.3946
Primary Tumor	TCGA-KK-A6E6-01	5.4068
Primary Tumor	TCGA-KK-A6E7-01	8.7868
Primary Tumor	TCGA-KK-A6E8-01	8.2278
Primary Tumor	TCGA-KK-A7AP-01	12.0988
Primary Tumor	TCGA-KK-A7AQ-01	6.3459
Primary Tumor	TCGA-KK-A7AU-01	7.4734
Primary Tumor	TCGA-KK-A7AV-01	6.1597
Primary Tumor	TCGA-KK-A7AW-01	5.5028
Primary Tumor	TCGA-KK-A7AY-01	5.3663
Primary Tumor	TCGA-KK-A7AZ-01	4.7878
Primary Tumor	TCGA-KK-A7B0-01	6.7172
Primary Tumor	TCGA-KK-A7B1-01	5.8409
Primary Tumor	TCGA-KK-A7B2-01	5.8723
Primary Tumor	TCGA-KK-A7B3-01	7.3611
Primary Tumor	TCGA-KK-A7B4-01	9.3045
Primary Tumor	TCGA-KK-A8I4-01	5.4842
Primary Tumor	TCGA-KK-A8I5-01	7.6255
Primary Tumor	TCGA-KK-A8I6-01	9.9493
Primary Tumor	TCGA-KK-A8I7-01	6.32
Primary Tumor	TCGA-KK-A8I8-01	7.7274
Primary Tumor	TCGA-KK-A8I9-01	7.9524
Primary Tumor	TCGA-KK-A8IA-01	7.4979
