sample_type	sampleID	ADRA1A
Primary Tumor	TCGA-YL-A8SF-01	3.4832
Primary Tumor	TCGA-YL-A8SH-01	5.3448
Primary Tumor	TCGA-YL-A8SI-01	6.5878
Primary Tumor	TCGA-YL-A8SJ-01	7.5363
Primary Tumor	TCGA-YL-A8SK-01	6.1711
Primary Tumor	TCGA-YL-A8SL-01	3.331
Primary Tumor	TCGA-YL-A8SO-01	3.994
Primary Tumor	TCGA-YL-A8SP-01	4.0582
Primary Tumor	TCGA-YL-A8SQ-01	4.9896
Primary Tumor	TCGA-YL-A8SR-01	4.134
Primary Tumor	TCGA-YL-A9WH-01	4.2095
Primary Tumor	TCGA-YL-A9WI-01	3.6787
Primary Tumor	TCGA-YL-A9WJ-01	5.6819
Primary Tumor	TCGA-YL-A9WK-01	5.8396
Primary Tumor	TCGA-YL-A9WL-01	0.9207
Primary Tumor	TCGA-YL-A9WX-01	4.8594
Primary Tumor	TCGA-YL-A9WY-01	5.3056
Primary Tumor	TCGA-ZG-A8QW-01	6.5665
Primary Tumor	TCGA-ZG-A8QX-01	5.5799
Primary Tumor	TCGA-ZG-A8QY-01	6.4349
Primary Tumor	TCGA-ZG-A8QZ-01	5.2253
Primary Tumor	TCGA-ZG-A9KY-01	1.1625
Primary Tumor	TCGA-ZG-A9L0-01	4.1483
Primary Tumor	TCGA-ZG-A9L1-01	4.688
Primary Tumor	TCGA-ZG-A9L2-01	7.0066
Primary Tumor	TCGA-ZG-A9L4-01	3.7713
Primary Tumor	TCGA-ZG-A9L5-01	3.5479
Primary Tumor	TCGA-ZG-A9L6-01	7.513
Primary Tumor	TCGA-ZG-A9L9-01	5.8248
Primary Tumor	TCGA-ZG-A9LB-01	4.2053
Primary Tumor	TCGA-ZG-A9LM-01	2.6121
Primary Tumor	TCGA-ZG-A9LN-01	6.1634
Primary Tumor	TCGA-ZG-A9LS-01	5.8101
Primary Tumor	TCGA-ZG-A9LU-01	4.7746
Primary Tumor	TCGA-ZG-A9LY-01	4.8339
Primary Tumor	TCGA-ZG-A9LZ-01	3.9912
Primary Tumor	TCGA-ZG-A9M4-01	3.7882
Primary Tumor	TCGA-ZG-A9MC-01	4.8343
Primary Tumor	TCGA-ZG-A9N3-01	4.8955
Primary Tumor	TCGA-ZG-A9ND-01	1.6206
Primary Tumor	TCGA-ZG-A9NI-01	6.4499
