sample_type	sampleID	CXCL12
Primary Tumor	TCGA-EJ-7786-01	9.1077
Solid Tissue Normal	TCGA-EJ-7786-11	10.5226
Primary Tumor	TCGA-EJ-7788-01	9.3529
Primary Tumor	TCGA-EJ-7789-01	9.0611
Solid Tissue Normal	TCGA-EJ-7789-11	10.0233
Primary Tumor	TCGA-EJ-7791-01	9.9818
Primary Tumor	TCGA-EJ-7792-01	10.8123
Solid Tissue Normal	TCGA-EJ-7792-11	10.4917
Primary Tumor	TCGA-EJ-7793-01	7.8876
Solid Tissue Normal	TCGA-EJ-7793-11	9.4889
Primary Tumor	TCGA-EJ-7794-01	9.6652
Solid Tissue Normal	TCGA-EJ-7794-11	10.6325
Primary Tumor	TCGA-EJ-7797-01	8.2117
Solid Tissue Normal	TCGA-EJ-7797-11	10.7063
Primary Tumor	TCGA-EJ-8468-01	10.005
Primary Tumor	TCGA-EJ-8469-01	7.4816
Primary Tumor	TCGA-EJ-8470-01	9.4488
Primary Tumor	TCGA-EJ-8472-01	8.6625
Primary Tumor	TCGA-EJ-8474-01	9.2008
Primary Tumor	TCGA-EJ-A46B-01	9.3942
Primary Tumor	TCGA-EJ-A46D-01	8.7042
Primary Tumor	TCGA-EJ-A46E-01	8.3258
Primary Tumor	TCGA-EJ-A46F-01	6.0352
Primary Tumor	TCGA-EJ-A46G-01	9.0945
Primary Tumor	TCGA-EJ-A46H-01	9.7713
Primary Tumor	TCGA-EJ-A46I-01	9.1082
Primary Tumor	TCGA-EJ-A65B-01	9.4962
Primary Tumor	TCGA-EJ-A65D-01	6.0709
Primary Tumor	TCGA-EJ-A65E-01	10.9103
Primary Tumor	TCGA-EJ-A65F-01	9.4096
Primary Tumor	TCGA-EJ-A65G-01	9.676
Primary Tumor	TCGA-EJ-A65J-01	8.8504
Primary Tumor	TCGA-EJ-A65M-01	10.5346
Primary Tumor	TCGA-EJ-A6RA-01	8.4102
Primary Tumor	TCGA-EJ-A6RC-01	10.1501
Primary Tumor	TCGA-EJ-A7NF-01	7.4726
Primary Tumor	TCGA-EJ-A7NG-01	9.3521
Primary Tumor	TCGA-EJ-A7NH-01	8.6089
Primary Tumor	TCGA-EJ-A7NJ-01	9.2245
Primary Tumor	TCGA-EJ-A7NK-01	9.6793
Primary Tumor	TCGA-EJ-A7NM-01	8.5198
Primary Tumor	TCGA-EJ-A7NN-01	9.8873
Primary Tumor	TCGA-EJ-A8FN-01	10.0165
Primary Tumor	TCGA-EJ-A8FO-01	9.0014
Solid Tissue Normal	TCGA-EJ-A8FO-11	11.0973
Primary Tumor	TCGA-EJ-A8FP-01	9.3694
Primary Tumor	TCGA-EJ-A8FS-01	11.1159
Primary Tumor	TCGA-EJ-A8FU-01	9.8406
Primary Tumor	TCGA-EJ-AB20-01	11.7546
Primary Tumor	TCGA-EJ-AB27-01	9.0206
Primary Tumor	TCGA-FC-7708-01	9.2031
Primary Tumor	TCGA-FC-7961-01	8.9805
Primary Tumor	TCGA-FC-A4JI-01	7.8421
Primary Tumor	TCGA-FC-A5OB-01	7.6483
Primary Tumor	TCGA-FC-A66V-01	9.3982
Primary Tumor	TCGA-FC-A6HD-01	8.3137
Primary Tumor	TCGA-FC-A8O0-01	9.2493
Primary Tumor	TCGA-G9-6329-01	9.7355
Primary Tumor	TCGA-G9-6332-01	7.2397
Primary Tumor	TCGA-G9-6333-01	9.4389
Solid Tissue Normal	TCGA-G9-6333-11	9.965
Primary Tumor	TCGA-G9-6336-01	8.0748
Primary Tumor	TCGA-G9-6338-01	10.3096
Primary Tumor	TCGA-G9-6339-01	7.9489
Primary Tumor	TCGA-G9-6342-01	7.9267
Solid Tissue Normal	TCGA-G9-6342-11	8.6954
Primary Tumor	TCGA-G9-6343-01	9.6076
Primary Tumor	TCGA-G9-6347-01	10.2906
Primary Tumor	TCGA-G9-6348-01	8.7666
Solid Tissue Normal	TCGA-G9-6348-11	9.815
Primary Tumor	TCGA-G9-6351-01	8.2964
Solid Tissue Normal	TCGA-G9-6351-11	9.0587
Primary Tumor	TCGA-G9-6353-01	9.0393
Primary Tumor	TCGA-G9-6354-01	8.5562
Primary Tumor	TCGA-G9-6356-01	9.1865
Solid Tissue Normal	TCGA-G9-6356-11	9.3223
Primary Tumor	TCGA-G9-6361-01	9.1575
Primary Tumor	TCGA-G9-6362-01	7.9133
Solid Tissue Normal	TCGA-G9-6362-11	8.3917
Primary Tumor	TCGA-G9-6363-01	9.0947
Solid Tissue Normal	TCGA-G9-6363-11	9.2859
Primary Tumor	TCGA-G9-6364-01	9.6539
Primary Tumor	TCGA-G9-6365-01	9.519
Solid Tissue Normal	TCGA-G9-6365-11	9.0876
Primary Tumor	TCGA-G9-6366-01	8.928
Primary Tumor	TCGA-G9-6367-01	9.2388
Primary Tumor	TCGA-G9-6369-01	8.1144
Primary Tumor	TCGA-G9-6370-01	9.7355
Primary Tumor	TCGA-G9-6371-01	7.8346
Primary Tumor	TCGA-G9-6373-01	8.9212
Primary Tumor	TCGA-G9-6377-01	8.1343
Primary Tumor	TCGA-G9-6378-01	10.7402
Primary Tumor	TCGA-G9-6379-01	8.8704
Primary Tumor	TCGA-G9-6384-01	8.7219
Solid Tissue Normal	TCGA-G9-6384-11	8.7636
Primary Tumor	TCGA-G9-6385-01	9.4473
Primary Tumor	TCGA-G9-6494-01	9.341
Primary Tumor	TCGA-G9-6496-01	10.6033
Solid Tissue Normal	TCGA-G9-6496-11	10.5897
Primary Tumor	TCGA-G9-6498-01	9.8171
Primary Tumor	TCGA-G9-6499-01	7.9163
Solid Tissue Normal	TCGA-G9-6499-11	8.5897
Primary Tumor	TCGA-G9-7509-01	8.5474
Primary Tumor	TCGA-G9-7510-01	8.9077
Primary Tumor	TCGA-G9-7519-01	9.8076
Primary Tumor	TCGA-G9-7521-01	8.8963
Primary Tumor	TCGA-G9-7522-01	9.3637
Primary Tumor	TCGA-G9-7523-01	11.1494
Primary Tumor	TCGA-G9-7525-01	8.2494
Primary Tumor	TCGA-G9-A9S0-01	7.2337
Primary Tumor	TCGA-G9-A9S4-01	7.022
Primary Tumor	TCGA-G9-A9S7-01	7.3284
Primary Tumor	TCGA-H9-7775-01	9.4169
Primary Tumor	TCGA-H9-A6BX-01	10.0393
Primary Tumor	TCGA-H9-A6BY-01	7.5183
Primary Tumor	TCGA-HC-7075-01	8.1935
Primary Tumor	TCGA-HC-7077-01	6.1145
Primary Tumor	TCGA-HC-7078-01	9.4292
Primary Tumor	TCGA-HC-7079-01	10.1029
Primary Tumor	TCGA-HC-7080-01	7.5142
Primary Tumor	TCGA-HC-7081-01	9.3668
Primary Tumor	TCGA-HC-7209-01	7.9038
Primary Tumor	TCGA-HC-7210-01	9.2438
