sample_type	sampleID	CXCL12
Primary Tumor	TCGA-YL-A8SF-01	9.2889
Primary Tumor	TCGA-YL-A8SH-01	9.1298
Primary Tumor	TCGA-YL-A8SI-01	9.8727
Primary Tumor	TCGA-YL-A8SJ-01	10.3704
Primary Tumor	TCGA-YL-A8SK-01	9.1291
Primary Tumor	TCGA-YL-A8SL-01	6.8705
Primary Tumor	TCGA-YL-A8SO-01	8.2876
Primary Tumor	TCGA-YL-A8SP-01	9.1744
Primary Tumor	TCGA-YL-A8SQ-01	9.4923
Primary Tumor	TCGA-YL-A8SR-01	9.1279
Primary Tumor	TCGA-YL-A9WH-01	7.9095
Primary Tumor	TCGA-YL-A9WI-01	7.9849
Primary Tumor	TCGA-YL-A9WJ-01	8.7321
Primary Tumor	TCGA-YL-A9WK-01	10.5548
Primary Tumor	TCGA-YL-A9WL-01	7.6788
Primary Tumor	TCGA-YL-A9WX-01	9.0412
Primary Tumor	TCGA-YL-A9WY-01	9.1181
Primary Tumor	TCGA-ZG-A8QW-01	8.5213
Primary Tumor	TCGA-ZG-A8QX-01	8.4904
Primary Tumor	TCGA-ZG-A8QY-01	9.476
Primary Tumor	TCGA-ZG-A8QZ-01	9.2665
Primary Tumor	TCGA-ZG-A9KY-01	10.4246
Primary Tumor	TCGA-ZG-A9L0-01	9.9108
Primary Tumor	TCGA-ZG-A9L1-01	10.4202
Primary Tumor	TCGA-ZG-A9L2-01	10.0521
Primary Tumor	TCGA-ZG-A9L4-01	10.1049
Primary Tumor	TCGA-ZG-A9L5-01	10.8183
Primary Tumor	TCGA-ZG-A9L6-01	10.5514
Primary Tumor	TCGA-ZG-A9L9-01	9.3461
Primary Tumor	TCGA-ZG-A9LB-01	9.1012
Primary Tumor	TCGA-ZG-A9LM-01	9.4536
Primary Tumor	TCGA-ZG-A9LN-01	10.0341
Primary Tumor	TCGA-ZG-A9LS-01	9.5888
Primary Tumor	TCGA-ZG-A9LU-01	8.4334
Primary Tumor	TCGA-ZG-A9LY-01	8.7277
Primary Tumor	TCGA-ZG-A9LZ-01	7.6355
Primary Tumor	TCGA-ZG-A9M4-01	9.2337
Primary Tumor	TCGA-ZG-A9MC-01	9.5873
Primary Tumor	TCGA-ZG-A9N3-01	8.5779
Primary Tumor	TCGA-ZG-A9ND-01	9.3269
Primary Tumor	TCGA-ZG-A9NI-01	11.3832
