sample_type	sampleID	AQP3
Primary Tumor	TCGA-YL-A8SA-01	10.051
Primary Tumor	TCGA-YL-A8SB-01	11.0762
Primary Tumor	TCGA-YL-A8SC-01	12.103
Primary Tumor	TCGA-YL-A8SF-01	11.6304
Primary Tumor	TCGA-YL-A8SH-01	11.7329
Primary Tumor	TCGA-YL-A8SI-01	11.4342
Primary Tumor	TCGA-YL-A8SJ-01	10.4662
Primary Tumor	TCGA-YL-A8SK-01	13.1882
Primary Tumor	TCGA-YL-A8SL-01	8.1692
Primary Tumor	TCGA-YL-A8SO-01	10.5344
Primary Tumor	TCGA-YL-A8SP-01	6.197
Primary Tumor	TCGA-YL-A8SQ-01	11.0902
Primary Tumor	TCGA-YL-A8SR-01	10.4297
Primary Tumor	TCGA-YL-A9WH-01	12.018
Primary Tumor	TCGA-YL-A9WI-01	11.0084
Primary Tumor	TCGA-YL-A9WJ-01	12.0072
Primary Tumor	TCGA-YL-A9WK-01	10.7794
Primary Tumor	TCGA-YL-A9WL-01	7.8261
Primary Tumor	TCGA-YL-A9WX-01	12.2847
Primary Tumor	TCGA-YL-A9WY-01	10.2472
Primary Tumor	TCGA-ZG-A8QW-01	10.6418
Primary Tumor	TCGA-ZG-A8QX-01	10.885
Primary Tumor	TCGA-ZG-A8QY-01	9.7196
Primary Tumor	TCGA-ZG-A8QZ-01	11.4688
Primary Tumor	TCGA-ZG-A9KY-01	10.1211
Primary Tumor	TCGA-ZG-A9L0-01	12.6004
Primary Tumor	TCGA-ZG-A9L1-01	10.9068
Primary Tumor	TCGA-ZG-A9L2-01	11.5878
Primary Tumor	TCGA-ZG-A9L4-01	11.9205
Primary Tumor	TCGA-ZG-A9L5-01	11.1802
Primary Tumor	TCGA-ZG-A9L6-01	11.8702
Primary Tumor	TCGA-ZG-A9L9-01	10.685
Primary Tumor	TCGA-ZG-A9LB-01	13.4739
Primary Tumor	TCGA-ZG-A9LM-01	12.1979
Primary Tumor	TCGA-ZG-A9LN-01	10.3821
Primary Tumor	TCGA-ZG-A9LS-01	11.8462
Primary Tumor	TCGA-ZG-A9LU-01	12.0791
Primary Tumor	TCGA-ZG-A9LY-01	11.6215
Primary Tumor	TCGA-ZG-A9LZ-01	11.5131
Primary Tumor	TCGA-ZG-A9M4-01	11.1014
Primary Tumor	TCGA-ZG-A9MC-01	12.1605
Primary Tumor	TCGA-ZG-A9N3-01	10.9703
Primary Tumor	TCGA-ZG-A9ND-01	10.9196
Primary Tumor	TCGA-ZG-A9NI-01	11.5272
