sample_type	sampleID	AQP3
Primary Tumor	TCGA-EJ-7786-01	11.7308
Solid Tissue Normal	TCGA-EJ-7786-11	11.4762
Primary Tumor	TCGA-EJ-7788-01	10.1546
Primary Tumor	TCGA-EJ-7789-01	11.5692
Solid Tissue Normal	TCGA-EJ-7789-11	12.3555
Primary Tumor	TCGA-EJ-7791-01	11.9842
Primary Tumor	TCGA-EJ-7792-01	10.1872
Solid Tissue Normal	TCGA-EJ-7792-11	11.9832
Primary Tumor	TCGA-EJ-7793-01	11.7253
Solid Tissue Normal	TCGA-EJ-7793-11	11.9037
Primary Tumor	TCGA-EJ-7794-01	11.1687
Solid Tissue Normal	TCGA-EJ-7794-11	13.2251
Primary Tumor	TCGA-EJ-7797-01	11.1299
Solid Tissue Normal	TCGA-EJ-7797-11	11.6062
Primary Tumor	TCGA-EJ-8468-01	12.0964
Primary Tumor	TCGA-EJ-8469-01	11.5146
Primary Tumor	TCGA-EJ-8470-01	9.8733
Primary Tumor	TCGA-EJ-8472-01	11.979
Primary Tumor	TCGA-EJ-8474-01	11.9635
Primary Tumor	TCGA-EJ-A46B-01	11.9416
Primary Tumor	TCGA-EJ-A46D-01	11.8266
Primary Tumor	TCGA-EJ-A46E-01	12.7033
Primary Tumor	TCGA-EJ-A46F-01	9.5187
Primary Tumor	TCGA-EJ-A46G-01	10.7922
Primary Tumor	TCGA-EJ-A46H-01	14.0905
Primary Tumor	TCGA-EJ-A46I-01	11.7445
Primary Tumor	TCGA-EJ-A65B-01	12.0411
Primary Tumor	TCGA-EJ-A65D-01	10.152
Primary Tumor	TCGA-EJ-A65E-01	12.3274
Primary Tumor	TCGA-EJ-A65F-01	10.7754
Primary Tumor	TCGA-EJ-A65G-01	11.9984
Primary Tumor	TCGA-EJ-A65J-01	10.6285
Primary Tumor	TCGA-EJ-A65M-01	11.6601
Primary Tumor	TCGA-EJ-A6RA-01	12.3482
Primary Tumor	TCGA-EJ-A6RC-01	11.3948
Primary Tumor	TCGA-EJ-A7NF-01	10.5256
Primary Tumor	TCGA-EJ-A7NG-01	11.894
Primary Tumor	TCGA-EJ-A7NH-01	12.2671
Primary Tumor	TCGA-EJ-A7NJ-01	13.1431
Primary Tumor	TCGA-EJ-A7NK-01	12.2984
Primary Tumor	TCGA-EJ-A7NM-01	11.535
Primary Tumor	TCGA-EJ-A7NN-01	10.9008
Primary Tumor	TCGA-EJ-A8FN-01	11.3647
Primary Tumor	TCGA-EJ-A8FO-01	11.7664
Solid Tissue Normal	TCGA-EJ-A8FO-11	12.7737
Primary Tumor	TCGA-EJ-A8FP-01	12.2032
Primary Tumor	TCGA-EJ-A8FS-01	12.1202
Primary Tumor	TCGA-EJ-A8FU-01	11.6147
