sample_type	sampleID	GYS2
Primary Tumor	TCGA-EJ-7792-01	0
Solid Tissue Normal	TCGA-EJ-7792-11	1.0996
Primary Tumor	TCGA-EJ-7793-01	0
Solid Tissue Normal	TCGA-EJ-7793-11	0.6914
Primary Tumor	TCGA-EJ-7794-01	0.4048
Solid Tissue Normal	TCGA-EJ-7794-11	0.7216
Primary Tumor	TCGA-EJ-7797-01	0.4375
Solid Tissue Normal	TCGA-EJ-7797-11	1.305
Primary Tumor	TCGA-EJ-8468-01	0
Primary Tumor	TCGA-EJ-8469-01	0
Primary Tumor	TCGA-EJ-8470-01	1.5372
Primary Tumor	TCGA-EJ-8472-01	0.7464
Primary Tumor	TCGA-EJ-8474-01	0.9033
Primary Tumor	TCGA-EJ-A46B-01	1.0801
Primary Tumor	TCGA-EJ-A46D-01	1.1147
Primary Tumor	TCGA-EJ-A46E-01	1.437
Primary Tumor	TCGA-EJ-A46F-01	0.6616
Primary Tumor	TCGA-EJ-A46G-01	0
Primary Tumor	TCGA-EJ-A46H-01	0.5619
Primary Tumor	TCGA-EJ-A46I-01	0.6554
Primary Tumor	TCGA-EJ-A65B-01	0
Primary Tumor	TCGA-EJ-A65D-01	0
Primary Tumor	TCGA-EJ-A65E-01	0.5567
Primary Tumor	TCGA-EJ-A65F-01	0
Primary Tumor	TCGA-EJ-A65G-01	0
Primary Tumor	TCGA-EJ-A65J-01	0
Primary Tumor	TCGA-EJ-A65M-01	2.2874
Primary Tumor	TCGA-EJ-A6RA-01	0.5874
Primary Tumor	TCGA-EJ-A6RC-01	0.8243
Primary Tumor	TCGA-EJ-A7NF-01	0.5707
Primary Tumor	TCGA-EJ-A7NG-01	0.4878
Primary Tumor	TCGA-EJ-A7NH-01	0.4891
Primary Tumor	TCGA-EJ-A7NJ-01	0.4876
Primary Tumor	TCGA-EJ-A7NK-01	0
Primary Tumor	TCGA-EJ-A7NM-01	0.474
Primary Tumor	TCGA-EJ-A7NN-01	0
Primary Tumor	TCGA-EJ-A8FN-01	0
Primary Tumor	TCGA-EJ-A8FO-01	0.4591
Solid Tissue Normal	TCGA-EJ-A8FO-11	1.2709
Primary Tumor	TCGA-EJ-A8FP-01	0
Primary Tumor	TCGA-EJ-A8FS-01	0
Primary Tumor	TCGA-EJ-A8FU-01	1.0509
Primary Tumor	TCGA-EJ-AB20-01	0
Primary Tumor	TCGA-EJ-AB27-01	0.7886
Primary Tumor	TCGA-FC-7708-01	0.4258
Primary Tumor	TCGA-FC-7961-01	1.2343
Primary Tumor	TCGA-FC-A4JI-01	0
Primary Tumor	TCGA-FC-A5OB-01	0
Primary Tumor	TCGA-FC-A66V-01	1.0188
Primary Tumor	TCGA-FC-A6HD-01	0
Primary Tumor	TCGA-FC-A8O0-01	0.9713
Primary Tumor	TCGA-G9-6329-01	0
Primary Tumor	TCGA-G9-6332-01	0
Primary Tumor	TCGA-G9-6333-01	0
Solid Tissue Normal	TCGA-G9-6333-11	0.8548
Primary Tumor	TCGA-G9-6336-01	0.5906
Primary Tumor	TCGA-G9-6338-01	0.6164
Primary Tumor	TCGA-G9-6339-01	0
Primary Tumor	TCGA-G9-6342-01	0
Solid Tissue Normal	TCGA-G9-6342-11	0.8351
Primary Tumor	TCGA-G9-6343-01	0
Primary Tumor	TCGA-G9-6347-01	0.9431
Primary Tumor	TCGA-G9-6348-01	0.4008
Solid Tissue Normal	TCGA-G9-6348-11	1.1886
Primary Tumor	TCGA-G9-6351-01	0
Solid Tissue Normal	TCGA-G9-6351-11	0.4711
Primary Tumor	TCGA-G9-6353-01	0
Primary Tumor	TCGA-G9-6354-01	0.6497
Primary Tumor	TCGA-G9-6356-01	0
Solid Tissue Normal	TCGA-G9-6356-11	0.4401
Primary Tumor	TCGA-G9-6361-01	0
Primary Tumor	TCGA-G9-6362-01	0
Solid Tissue Normal	TCGA-G9-6362-11	0
Primary Tumor	TCGA-G9-6363-01	0
Solid Tissue Normal	TCGA-G9-6363-11	0
Primary Tumor	TCGA-G9-6364-01	0.9154
Primary Tumor	TCGA-G9-6365-01	0.4252
Solid Tissue Normal	TCGA-G9-6365-11	0.7778
Primary Tumor	TCGA-G9-6366-01	0
Primary Tumor	TCGA-G9-6367-01	0
Primary Tumor	TCGA-G9-6369-01	0
Primary Tumor	TCGA-G9-6370-01	0
Primary Tumor	TCGA-G9-6371-01	0.4176
Primary Tumor	TCGA-G9-6373-01	0.5183
Primary Tumor	TCGA-G9-6377-01	1.0871
Primary Tumor	TCGA-G9-6378-01	0
Primary Tumor	TCGA-G9-6379-01	2.4126
Primary Tumor	TCGA-G9-6384-01	0
Solid Tissue Normal	TCGA-G9-6384-11	0.5331
Primary Tumor	TCGA-G9-6385-01	0
Primary Tumor	TCGA-G9-6494-01	0
Primary Tumor	TCGA-G9-6496-01	0
Solid Tissue Normal	TCGA-G9-6496-11	0.5052
Primary Tumor	TCGA-G9-6498-01	0
Primary Tumor	TCGA-G9-6499-01	0
Solid Tissue Normal	TCGA-G9-6499-11	0
Primary Tumor	TCGA-G9-7509-01	0.892
Primary Tumor	TCGA-G9-7510-01	0
Primary Tumor	TCGA-G9-7519-01	0
Primary Tumor	TCGA-G9-7521-01	0.3493
Primary Tumor	TCGA-G9-7522-01	0.3535
Primary Tumor	TCGA-G9-7523-01	0.4418
Primary Tumor	TCGA-G9-7525-01	0
Primary Tumor	TCGA-G9-A9S0-01	0
Primary Tumor	TCGA-G9-A9S4-01	0
Primary Tumor	TCGA-G9-A9S7-01	1.787
Primary Tumor	TCGA-H9-7775-01	0
Primary Tumor	TCGA-H9-A6BX-01	0.9554
Primary Tumor	TCGA-H9-A6BY-01	0
Primary Tumor	TCGA-HC-7075-01	0
Primary Tumor	TCGA-HC-7077-01	0
Primary Tumor	TCGA-HC-7078-01	0
Primary Tumor	TCGA-HC-7079-01	0.8501
Primary Tumor	TCGA-HC-7080-01	0.6565
Primary Tumor	TCGA-HC-7081-01	0.5804
Primary Tumor	TCGA-HC-7209-01	0.4721
Primary Tumor	TCGA-HC-7210-01	0
Primary Tumor	TCGA-HC-7211-01	0.3728
Solid Tissue Normal	TCGA-HC-7211-11	0
Primary Tumor	TCGA-HC-7212-01	0
Primary Tumor	TCGA-HC-7213-01	0.4395
Primary Tumor	TCGA-HC-7230-01	0
Primary Tumor	TCGA-HC-7231-01	0
Primary Tumor	TCGA-HC-7232-01	0.7318
Primary Tumor	TCGA-HC-7233-01	0
Primary Tumor	TCGA-HC-7736-01	0.3369
Primary Tumor	TCGA-HC-7737-01	0
Solid Tissue Normal	TCGA-HC-7737-11	0
Primary Tumor	TCGA-HC-7738-01	0.961
Solid Tissue Normal	TCGA-HC-7738-11	0.7176
Primary Tumor	TCGA-HC-7740-01	0
Solid Tissue Normal	TCGA-HC-7740-11	1.7566
Primary Tumor	TCGA-HC-7742-01	0
Solid Tissue Normal	TCGA-HC-7742-11	0
Primary Tumor	TCGA-HC-7744-01	0
Primary Tumor	TCGA-HC-7745-01	0.9742
Solid Tissue Normal	TCGA-HC-7745-11	1.5622
Primary Tumor	TCGA-HC-7747-01	0
Solid Tissue Normal	TCGA-HC-7747-11	0
Primary Tumor	TCGA-HC-7748-01	0.3386
Primary Tumor	TCGA-HC-7749-01	0.3652
Primary Tumor	TCGA-HC-7750-01	0
Primary Tumor	TCGA-HC-7752-01	0
Solid Tissue Normal	TCGA-HC-7752-11	0
Primary Tumor	TCGA-HC-7817-01	0.5466
Primary Tumor	TCGA-HC-7818-01	0.4114
Primary Tumor	TCGA-HC-7819-01	0
Solid Tissue Normal	TCGA-HC-7819-11	0.425
Primary Tumor	TCGA-HC-7820-01	0.4443
Primary Tumor	TCGA-HC-7821-01	0
Primary Tumor	TCGA-HC-8213-01	0
Primary Tumor	TCGA-HC-8216-01	0
Primary Tumor	TCGA-HC-8256-01	0.4814
Primary Tumor	TCGA-HC-8257-01	0
Primary Tumor	TCGA-HC-8258-01	0
Solid Tissue Normal	TCGA-HC-8258-11	0
Primary Tumor	TCGA-HC-8259-01	0
Solid Tissue Normal	TCGA-HC-8259-11	0.7525
Primary Tumor	TCGA-HC-8260-01	0.7046
Solid Tissue Normal	TCGA-HC-8260-11	0.4792
Primary Tumor	TCGA-HC-8261-01	0.4184
Primary Tumor	TCGA-HC-8262-01	0.7292
Solid Tissue Normal	TCGA-HC-8262-11	1.161
Primary Tumor	TCGA-HC-8264-01	0.7603
Primary Tumor	TCGA-HC-8265-01	0.5819
Primary Tumor	TCGA-HC-8266-01	0
Primary Tumor	TCGA-HC-A48F-01	0
Primary Tumor	TCGA-HC-A4ZV-01	0
Primary Tumor	TCGA-HC-A631-01	0
Primary Tumor	TCGA-HC-A632-01	1.0287
Primary Tumor	TCGA-HC-A6AL-01	0
Primary Tumor	TCGA-HC-A6AN-01	0
Primary Tumor	TCGA-HC-A6AO-01	0.5487
Primary Tumor	TCGA-HC-A6AP-01	0
Primary Tumor	TCGA-HC-A6AQ-01	0
Primary Tumor	TCGA-HC-A6AS-01	0.8772
Primary Tumor	TCGA-HC-A6HX-01	0.6196
Primary Tumor	TCGA-HC-A6HY-01	0
Primary Tumor	TCGA-HC-A76W-01	1.5398
Primary Tumor	TCGA-HC-A76X-01	0
Primary Tumor	TCGA-HC-A8CY-01	0
Primary Tumor	TCGA-HC-A8D0-01	0.664
Primary Tumor	TCGA-HC-A8D1-01	0.584
Primary Tumor	TCGA-HC-A9TE-01	0.6936
Primary Tumor	TCGA-HC-A9TH-01	0.684
Primary Tumor	TCGA-HI-7168-01	0
Primary Tumor	TCGA-HI-7169-01	0
