sample_type	sampleID	IGFALS
Primary Tumor	TCGA-YL-A8SF-01	3.3088
Primary Tumor	TCGA-YL-A8SH-01	2.9765
Primary Tumor	TCGA-YL-A8SI-01	2.613
Primary Tumor	TCGA-YL-A8SJ-01	2.3011
Primary Tumor	TCGA-YL-A8SK-01	3.6165
Primary Tumor	TCGA-YL-A8SL-01	3.1216
Primary Tumor	TCGA-YL-A8SO-01	3.6088
Primary Tumor	TCGA-YL-A8SP-01	3.1764
Primary Tumor	TCGA-YL-A8SQ-01	3.516
Primary Tumor	TCGA-YL-A8SR-01	2.4529
Primary Tumor	TCGA-YL-A9WH-01	2.8003
Primary Tumor	TCGA-YL-A9WI-01	0.9883
Primary Tumor	TCGA-YL-A9WJ-01	2.9849
Primary Tumor	TCGA-YL-A9WK-01	3.5824
Primary Tumor	TCGA-YL-A9WL-01	3.2679
Primary Tumor	TCGA-YL-A9WX-01	2.7109
Primary Tumor	TCGA-YL-A9WY-01	2.9962
Primary Tumor	TCGA-ZG-A8QW-01	3.6063
Primary Tumor	TCGA-ZG-A8QX-01	2.9971
Primary Tumor	TCGA-ZG-A8QY-01	3.1706
Primary Tumor	TCGA-ZG-A8QZ-01	2.6459
Primary Tumor	TCGA-ZG-A9KY-01	3.8701
Primary Tumor	TCGA-ZG-A9L0-01	3.3716
Primary Tumor	TCGA-ZG-A9L1-01	3.3403
Primary Tumor	TCGA-ZG-A9L2-01	2.0807
Primary Tumor	TCGA-ZG-A9L4-01	2.7187
Primary Tumor	TCGA-ZG-A9L5-01	4.3319
Primary Tumor	TCGA-ZG-A9L6-01	3.2175
Primary Tumor	TCGA-ZG-A9L9-01	3.0811
Primary Tumor	TCGA-ZG-A9LB-01	0.9398
Primary Tumor	TCGA-ZG-A9LM-01	4.071
Primary Tumor	TCGA-ZG-A9LN-01	1.2655
Primary Tumor	TCGA-ZG-A9LS-01	2.3368
Primary Tumor	TCGA-ZG-A9LU-01	3.6208
Primary Tumor	TCGA-ZG-A9LY-01	1.8238
Primary Tumor	TCGA-ZG-A9LZ-01	2.8746
Primary Tumor	TCGA-ZG-A9M4-01	2.889
Primary Tumor	TCGA-ZG-A9MC-01	4.6738
Primary Tumor	TCGA-ZG-A9N3-01	2.3531
Primary Tumor	TCGA-ZG-A9ND-01	1.6206
Primary Tumor	TCGA-ZG-A9NI-01	2.0022
